date,单位净值,基准
2014/11/17,1.205345,1.192910201
2014/11/18,1.195517,1.180974598
2014/11/19,1.194721,1.179026146
2014/11/20,1.19597,1.178968524
2014/11/21,1.214301,1.200509767
2014/11/24,1.238328,1.231087866
2014/11/25,1.253365,1.247957564
2014/11/26,1.276422,1.265363517
2014/11/27,1.291667,1.27998829
2014/11/28,1.326075,1.305234518
2014/12/1,1.32844,1.310342873
2014/12/2,1.37647,1.358730277
2014/12/3,1.37991,1.378995012
2014/12/4,1.442998,1.442565748
2014/12/5,1.4476,1.452107725
2014/12/8,1.495395,1.511586387
2014/12/9,1.413599,1.443756288
2014/12/10,1.45818,1.497025277
2014/12/11,1.449307,1.479118852
2014/12/12,1.456483,1.483865676
2014/12/15,1.470966,1.495018739
2014/12/16,1.513024,1.53506307
2014/12/17,1.535235,1.561641569
2014/12/18,1.527878,1.554824079
2014/12/19,1.547719,1.572129194
2014/12/22,1.545981,1.577386714
2014/12/23,1.507736,1.545064162
2014/12/24,1.471929,1.501132686
2014/12/25,1.52676,1.5499411
2014/12/26,1.573916,1.601252344
2014/12/29,1.583521,1.605720818
2014/12/30,1.587114,1.606696206
2014/12/31,1.620748,1.642082934
2015/1/5,1.661639,1.692193414
2015/1/6,1.662584,1.691969433
2015/1/7,1.665845,1.693238505
2015/1/8,1.627384,1.653957662
2015/1/9,1.624744,1.648132288
2015/1/12,1.610286,1.632729157
2015/1/13,1.610715,1.632944774
2015/1/14,1.604484,1.627546452
2015/1/15,1.65425,1.674804655
2015/1/16,1.66905,1.689221711
2015/1/19,1.542511,1.559112253
2015/1/20,1.559572,1.578195742
2015/1/21,1.628798,1.649136952
2015/1/22,1.635861,1.657839695
2015/1/23,1.63591,1.65975376
2015/1/26,1.646083,1.676600224
2015/1/27,1.633984,1.661240308
2015/1/28,1.610744,1.638187889
2015/1/29,1.589723,1.617962188
2015/1/30,1.565893,1.59593209
2015/2/2,1.530085,1.558556947
2015/2/3,1.567756,1.597351723
2015/2/4,1.55493,1.580772921
2015/2/5,1.539458,1.564591432
2015/2/6,1.514899,1.539253659
2015/2/9,1.531456,1.554821291
2015/2/10,1.557999,1.5831777
2015/2/11,1.566542,1.595808482
2015/2/12,1.570763,1.599874533
2015/2/13,1.583229,1.61239983
2015/2/16,1.590483,1.626180259
2015/2/17,1.603413,1.636793349
2015/2/25,1.584772,1.61653605
2015/2/26,1.623797,1.657227232
2015/2/27,1.624652,1.660270032
2015/3/2,1.635234,1.673477496
2015/3/3,1.592018,1.630091567
2015/3/4,1.598365,1.640743228
2015/3/5,1.583212,1.624721592
2015/3/6,1.58124,1.616438929
2015/3/9,1.609693,1.643962611
2015/3/10,1.600902,1.635998262
2015/3/11,1.605166,1.637876545
2015/3/12,1.636643,1.669564328
2015/3/13,1.648373,1.68109472
2015/3/16,1.687228,1.721994084
2015/3/17,1.710879,1.745902931
2015/3/18,1.750345,1.787229346
2015/3/19,1.750432,1.784294354
2015/3/20,1.772929,1.808846333
2015/3/23,1.807559,1.845783272
2015/3/24,1.806842,1.846240994
2015/3/25,1.792361,1.831076249
2015/3/26,1.803563,1.835531247
2015/3/27,1.811823,1.845614125
2015/3/30,1.863494,1.899741864
2015/3/31,1.851354,1.882560358
2015/4/1,1.882723,1.916339253
2015/4/2,1.885306,1.916748646
2015/4/3,1.903835,1.938013862
2015/4/7,1.952813,1.979606546
2015/4/8,1.973451,1.996223452
2015/4/9,1.969321,1.98057961
2015/4/10,2.004975,2.018813503
2015/4/13,2.039345,2.054435365
2015/4/14,2.040815,2.062386702
2015/4/15,2.018609,2.035587475
2015/4/16,2.078583,2.097406789
2015/4/17,2.112649,2.135785666
2015/4/20,2.068349,2.101297651
2015/4/21,2.113128,2.146486583
2015/4/22,2.165372,2.202551621
2015/4/23,2.169243,2.203052559
2015/4/24,2.155746,2.185277642
2015/4/27,2.202406,2.234047487
2015/4/28,2.173854,2.203502845
2015/4/29,2.195762,2.218589057
2015/4/30,2.18688,2.207231995
2015/5/4,2.192252,2.224822894
2015/5/5,2.107565,2.136111414
2015/5/6,2.094257,2.115892684
2015/5/7,2.06949,2.077212687
2015/5/8,2.109132,2.118251923
2015/5/11,2.172443,2.179650691
2015/5/12,2.199325,2.20608653
2015/5/13,2.184723,2.192617445
2015/5/14,2.17469,2.184411921
2015/5/15,2.136535,2.145699396
2015/5/18,2.12373,2.126029001
2015/5/19,2.225065,2.198558991
2015/5/20,2.246651,2.209570788
2015/5/21,2.286696,2.24956075
2015/5/22,2.338811,2.300843648
2015/5/25,2.396158,2.369692351
2015/5/26,2.43816,2.415893381
2015/5/27,2.426596,2.407768714
2015/5/28,2.281982,2.246322315
2015/5/29,2.282798,2.249492441
2015/6/1,2.38517,2.358857602
2015/6/2,2.423284,2.398677488
2015/6/3,2.425694,2.390182926
2015/6/4,2.448903,2.407760349
2015/6/5,2.46844,2.430593434
2015/6/8,2.530397,2.487843157
2015/6/9,2.50622,2.470979314
2015/6/10,2.503694,2.467099604
2015/6/11,2.502068,2.465927652
2015/6/12,2.512896,2.479183026
2015/6/15,2.455775,2.426232072
2015/6/16,2.385555,2.353579728
2015/6/17,2.417838,2.387971319
2015/6/18,2.32532,2.291184615
2015/6/19,2.192167,2.154798847
2015/6/23,2.260352,2.224055967
2015/6/24,2.299939,2.267753472
2015/6/25,2.218218,2.187078275
2015/6/26,2.051225,2.014993134
2015/6/29,1.981646,1.947777311
2015/6/30,2.113082,2.078564289
2015/7/1,2.020106,1.976343017
2015/7/2,1.958989,1.908951168
2015/7/3,1.859321,1.805752835
2015/7/6,1.907934,1.858086447
2015/7/7,1.875168,1.825309659
2015/7/8,1.753647,1.702182656
2015/7/9,1.857503,1.811194095
2015/7/10,1.947948,1.908282012
2015/7/13,1.98602,1.957193356
2015/7/14,1.949041,1.910880893
2015/7/15,1.89492,1.843319245
2015/7/16,1.904573,1.857537413
2015/7/17,1.976643,1.929165019
2015/7/20,1.980799,1.933401333
2015/7/21,1.984,1.93590774
2015/7/22,1.982968,1.931797404
2015/7/23,2.025036,1.97531326
2015/7/24,1.990643,1.940681517
2015/7/27,1.828045,1.7745323
2015/7/28,1.830922,1.770982614
2015/7/29,1.876796,1.826414045
2015/7/30,1.818287,1.772989709
2015/7/31,1.812554,1.773588
2015/8/3,1.811221,1.77941342
2015/8/4,1.869435,1.834674542
2015/8/5,1.830041,1.796915749
2015/8/6,1.813421,1.780629146
2015/8/7,1.850122,1.815524323
2015/8/10,1.933463,1.897969809
2015/8/11,1.918171,1.889746906
2015/8/12,1.884819,1.86626
2015/8/13,1.905979,1.89383331
2015/8/14,1.904535,1.892939709
2015/8/17,1.907656,1.894952799
2015/8/18,1.789474,1.777636811
2015/8/19,1.818109,1.80585451
2015/8/20,1.76237,1.747916021
2015/8/21,1.680005,1.668027036
2015/8/24,1.535856,1.522113138
2015/8/25,1.43222,1.414022347
2015/8/26,1.43045,1.406013574
2015/8/27,1.515428,1.489632731
2015/8/28,1.574402,1.553132277
2015/8/31,1.577733,1.564400862
2015/9/1,1.564845,1.562331497
2015/9/2,1.560752,1.564073672
2015/9/7,1.511405,1.510472986
2015/9/8,1.553259,1.54929253
2015/9/9,1.584834,1.579628572
2015/9/10,1.566545,1.560230301
2015/9/11,1.562463,1.555409963
2015/9/14,1.524365,1.52471425
2015/9/15,1.469806,1.464815599
2015/9/16,1.538551,1.537779843
2015/9/17,1.50648,1.50420597
2015/9/18,1.51514,1.510839256
2015/9/21,1.544761,1.537314362
2015/9/22,1.561096,1.551619102
2015/9/23,1.530923,1.51630138
2015/9/24,1.539517,1.526511398
2015/9/25,1.515972,1.501860579
2015/9/28,1.523029,1.506879712
2015/9/29,1.496681,1.47718685
2015/9/30,1.509506,1.488382711
2015/10/8,1.552804,1.531847405
2015/10/9,1.5743,1.55212371
2015/10/12,1.621526,1.602114068
2015/10/13,1.624073,1.600882496
2015/10/14,1.603646,1.582791356
2015/10/15,1.643306,1.620293546
2015/10/16,1.663309,1.642250362
2015/10/19,1.661277,1.642304638
2015/10/20,1.676137,1.662528294
2015/10/21,1.627954,1.613992049
2015/10/22,1.649356,1.637821201
2015/10/23,1.675892,1.659525643
2015/10/26,1.68779,1.667899385
2015/10/27,1.692466,1.669580778
2015/10/28,1.659411,1.638000572
2015/10/29,1.666347,1.641897754
2015/10/30,1.668139,1.642256635
2015/11/2,1.640913,1.615250387
2015/11/3,1.635217,1.610385253
2015/11/4,1.71297,1.68615089
2015/11/5,1.740969,1.722132888
2015/11/6,1.782871,1.762748883
2015/11/9,1.808806,1.784580465
2015/11/10,1.805596,1.781273348
2015/11/11,1.808536,1.781462849
2015/11/12,1.793978,1.763655125
2015/11/13,1.767127,1.740847179
2015/11/16,1.778032,1.749157723
2015/11/17,1.773114,1.746490719
2015/11/18,1.75592,1.726598527
2015/11/19,1.786453,1.754196374
2015/11/20,1.791364,1.753924111
2015/11/23,1.780706,1.74414319
2015/11/24,1.783589,1.744400443
2015/11/25,1.80108,1.757280857
2015/11/26,1.788265,1.746974788
2015/11/27,1.701488,1.652904392
2015/11/30,1.708575,1.657281694
2015/12/1,1.72484,1.669030862
2015/12/2,1.784066,1.72956089
2015/12/3,1.804402,1.742267416
2015/12/4,1.771476,1.708946103
2015/12/7,1.778747,1.713600035
2015/12/8,1.748856,1.683586954
2015/12/9,1.762192,1.68958984
2015/12/10,1.7569,1.683616695
2015/12/11,1.747619,1.676634471
2015/12/14,1.79141,1.724620057
2015/12/15,1.791735,1.716751202
2015/12/16,1.7852,1.712592816
2015/12/17,1.8231,1.745329548
2015/12/18,1.83439,1.750917324
2015/12/21,1.885377,1.79648117
2015/12/22,1.891455,1.801484922
2015/12/23,1.888954,1.796674853
2015/12/24,1.873817,1.77949093
2015/12/25,1.878729,1.783579659
2015/12/28,1.828431,1.73219899
2015/12/29,1.849931,1.748111377
2015/12/30,1.853918,1.749645185
2015/12/31,1.836076,1.733766441
2016/1/4,1.716217,1.612045828
2016/1/5,1.722069,1.616559609
2016/1/6,1.746722,1.644919039
2016/1/7,1.633947,1.530872435
2016/1/8,1.663185,1.56209009
2016/1/11,1.582652,1.483504564
2016/1/12,1.588167,1.49431329
2016/1/13,1.558826,1.466510236
2016/1/14,1.590835,1.49703708
2016/1/15,1.543893,1.449247595
2016/1/18,1.549917,1.454823336
2016/1/19,1.589372,1.497759071
2016/1/20,1.565081,1.475106751
2016/1/21,1.522771,1.43187524
2016/1/22,1.534361,1.446799832
2016/1/25,1.540681,1.453966956
2016/1/26,1.45399,1.366429519
2016/1/27,1.447699,1.361709833
2016/1/28,1.421535,1.326116456
2016/1/29,1.464439,1.369023288
2016/2/1,1.447642,1.348092418
2016/2/2,1.476656,1.376106814
2016/2/3,1.47369,1.370207508
2016/2/4,1.489746,1.386992725
2016/2/5,1.47753,1.377247957
2016/2/15,1.472997,1.369309724
2016/2/16,1.514621,1.41128471
2016/2/17,1.524791,1.423498942
2016/2/18,1.518844,1.419027958
2016/2/19,1.519251,1.418045833
2016/2/22,1.550161,1.449311443
2016/2/23,1.532175,1.435601044
2016/2/24,1.536021,1.444979542
2016/2/25,1.443586,1.356318574
2016/2/26,1.454989,1.369924976
2016/2/29,1.419427,1.337134479
2016/3/1,1.444747,1.361868664
2016/3/2,1.500734,1.417928591
2016/3/3,1.499841,1.421222882
2016/3/4,1.512234,1.437704377
2016/3/7,1.516169,1.442792843
2016/3/8,1.518363,1.444109314
2016/3/9,1.503262,1.427489295
2016/3/10,1.477084,1.400183414
2016/3/11,1.480372,1.402571324
2016/3/14,1.50649,1.424600493
2016/3/15,1.510448,1.428824168
2016/3/16,1.514937,1.435912201
2016/3/17,1.534441,1.451791223
2016/3/18,1.559387,1.473984475
2016/3/21,1.594091,1.509986082
2016/3/22,1.583455,1.498997567
2016/3/23,1.58948,1.503784866
2016/3/24,1.567199,1.478579206
2016/3/25,1.574008,1.485998564
2016/3/28,1.562992,1.472946028
2016/3/29,1.547976,1.456998511
2016/3/30,1.592911,1.494576027
2016/3/31,1.596533,1.495418327
2016/4/1,1.595898,1.497187361
2016/4/5,1.617237,1.51697904
2016/4/6,1.616167,1.513745623
2016/4/7,1.592591,1.49133011
2016/4/8,1.582507,1.480379932
2016/4/11,1.605181,1.50099825
2016/4/12,1.599582,1.495586452
2016/4/13,1.619667,1.515537242
2016/4/14,1.627853,1.52225157
2016/4/15,1.626082,1.520566227
2016/4/18,1.60552,1.500234948
2016/4/19,1.610051,1.504812067
2016/4/20,1.583042,1.47819616
2016/4/21,1.573717,1.468705718
2016/4/22,1.582568,1.475349831
2016/4/25,1.576574,1.469370134
2016/4/26,1.586307,1.477329092
2016/4/27,1.582269,1.471174299
2016/4/28,1.579899,1.468695309
2016/4/29,1.579125,1.466912845
2016/5/3,1.608143,1.493304817
2016/5/4,1.60835,1.491409665
2016/5/5,1.612088,1.493481492
2016/5/6,1.570726,1.454649309
2016/5/9,1.538855,1.424565641
2016/5/10,1.539147,1.426190668
2016/5/11,1.547439,1.432555176
2016/5/12,1.551812,1.435960715
2016/5/13,1.54477,1.428896427
2016/5/16,1.555979,1.438363775
2016/5/17,1.54985,1.434049764
2016/5/18,1.53885,1.425690381
2016/5/19,1.535956,1.423118034
2016/5/20,1.544962,1.430422103
2016/5/23,1.552122,1.434606278
2016/5/24,1.538538,1.423608469
2016/5/25,1.535369,1.421596494
2016/5/26,1.53743,1.423913075
2016/5/27,1.536322,1.423117616
2016/5/30,1.537889,1.42507406
2016/5/31,1.589007,1.472867728
2016/6/1,1.584468,1.468679556
2016/6/2,1.588847,1.47172454
2016/6/3,1.600441,1.482052682
2016/6/6,1.599684,1.477156134
2016/6/7,1.600993,1.476350034
2016/6/8,1.595366,1.470277816
2016/6/13,1.549595,1.424902961
2016/6/14,1.555004,1.429383563
2016/6/15,1.575289,1.44815004
2016/6/16,1.566705,1.438069299
2016/6/17,1.57561,1.445356779
2016/6/20,1.578958,1.446433562
2016/6/21,1.574529,1.443479564
2016/6/22,1.589088,1.456325312
2016/6/23,1.583187,1.448590846
2016/6/24,1.566464,1.429928182
2016/6/27,1.588537,1.450090638
2016/6/28,1.596249,1.457459252
2016/6/29,1.604081,1.464424282
2016/6/30,1.604515,1.465600509
2016/7/1,1.60569,1.465730298
2016/7/4,1.626827,1.489195317
2016/7/5,1.627939,1.490443711
2016/7/6,1.635866,1.494821477
2016/7/7,1.635519,1.491638665
2016/7/8,1.628905,1.483425799
2016/7/11,1.632654,1.488560362
2016/7/12,1.669395,1.52102023
2016/7/13,1.674955,1.52552114
2016/7/14,1.6707,1.522684477
2016/7/15,1.672872,1.522458544
2016/7/18,1.667435,1.515834226
2016/7/19,1.658728,1.509427012
