order_book_id,datetime,last_quantity,side,last_price,transaction_cost
002110.XSHE,2020-08-18,14100.0,SELL,7.21,0
002118.XSHE,2020-08-18,10100.0,SELL,4.5,0
002124.XSHE,2020-08-18,8100.0,SELL,20.7,0
002127.XSHE,2020-08-18,53900.0,BUY,20.0,0
002128.XSHE,2020-08-18,2100.0,SELL,11.43,0
002131.XSHE,2020-08-18,234800.0,BUY,3.25,0
002138.XSHE,2020-08-18,1400.0,SELL,25.86,0
002152.XSHE,2020-08-18,12800.0,SELL,15.09,0
002155.XSHE,2020-08-18,6600.0,SELL,9.44,0
002156.XSHE,2020-08-18,7300.0,SELL,27.46,0
002174.XSHE,2020-08-18,2600.0,SELL,21.36,0
002183.XSHE,2020-08-18,10400.0,SELL,5.93,0
002185.XSHE,2020-08-18,21800.0,SELL,16.38,0
002191.XSHE,2020-08-18,6000.0,SELL,11.0,0
002195.XSHE,2020-08-18,178400.0,BUY,3.09,0
002203.XSHE,2020-08-18,5200.0,SELL,8.93,0
002212.XSHE,2020-08-18,4600.0,SELL,23.48,0
002217.XSHE,2020-08-18,20700.0,SELL,5.35,0
002221.XSHE,2020-08-18,9900.0,SELL,10.28,0
002223.XSHE,2020-08-18,4300.0,SELL,35.76,0
002233.XSHE,2020-08-18,8300.0,SELL,16.36,0
002242.XSHE,2020-08-18,1500.0,SELL,40.16,0
002244.XSHE,2020-08-18,16300.0,SELL,4.79,0
002249.XSHE,2020-08-18,44800.0,BUY,4.08,0
002250.XSHE,2020-08-18,4400.0,SELL,25.6,0
002266.XSHE,2020-08-18,11300.0,SELL,5.59,0
002268.XSHE,2020-08-18,5800.0,SELL,22.95,0
002273.XSHE,2020-08-18,12300.0,SELL,15.9,0
002281.XSHE,2020-08-18,4800.0,BUY,31.5,0
002285.XSHE,2020-08-18,37000.0,BUY,4.74,0
002294.XSHE,2020-08-18,9000.0,BUY,33.33,0
002302.XSHE,2020-08-18,7000.0,SELL,10.98,0
002317.XSHE,2020-08-18,2400.0,SELL,15.1,0
002340.XSHE,2020-08-18,110000.0,BUY,5.77,0
002353.XSHE,2020-08-18,4900.0,SELL,33.4,0
002368.XSHE,2020-08-18,2400.0,BUY,33.13,0
002372.XSHE,2020-08-18,5200.0,SELL,14.99,0
002373.XSHE,2020-08-18,7600.0,SELL,25.32,0
002375.XSHE,2020-08-18,1200.0,SELL,16.04,0
002382.XSHE,2020-08-18,15800.0,BUY,29.84,0
002385.XSHE,2020-08-18,40100.0,SELL,12.33,0
002387.XSHE,2020-08-18,27700.0,BUY,15.39,0
002390.XSHE,2020-08-18,12700.0,SELL,4.93,0
002396.XSHE,2020-08-18,5100.0,BUY,31.58,0
002399.XSHE,2020-08-18,1700.0,BUY,26.16,0
002407.XSHE,2020-08-18,6300.0,SELL,11.76,0
002408.XSHE,2020-08-18,6100.0,SELL,8.31,0
002414.XSHE,2020-08-18,2500.0,SELL,38.98,0
002416.XSHE,2020-08-18,2000.0,SELL,11.06,0
002419.XSHE,2020-08-18,3600.0,BUY,11.43,0
002424.XSHE,2020-08-18,9900.0,SELL,10.1,0
002429.XSHE,2020-08-18,60400.0,BUY,7.14,0
002434.XSHE,2020-08-18,1900.0,SELL,9.63,0
002439.XSHE,2020-08-18,4200.0,SELL,41.01,0
002440.XSHE,2020-08-18,6100.0,SELL,10.1,0
002444.XSHE,2020-08-18,7000.0,SELL,22.83,0
002458.XSHE,2020-08-18,17400.0,BUY,16.24,0
002465.XSHE,2020-08-18,56500.0,BUY,14.36,0
002491.XSHE,2020-08-18,1900.0,SELL,5.49,0
002500.XSHE,2020-08-18,1500.0,SELL,8.43,0
002503.XSHE,2020-08-18,8200.0,SELL,2.88,0
002505.XSHE,2020-08-18,28000.0,SELL,2.98,0
